Event,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Medal
Swimming Women's 200 metres Individual Medley,6,6,6,6,6,6,6,6,6,6,6,6,6,0
Swimming Women's 4 x 100 metres Freestyle Relay,20,20,20,20,16,16,20,20,20,20,20,20,20,0
Swimming Women's 4 x 100 metres Medley Relay,8,8,8,8,8,8,8,8,8,8,8,8,8,0
Swimming Women's 4 x 200 metres Freestyle Relay,8,8,8,8,8,8,8,8,8,8,8,8,8,0
Swimming Women's 400 metres Freestyle,8,8,8,8,4,4,8,8,8,8,8,8,8,0
Swimming Women's 400 metres Individual Medley,4,4,4,4,4,4,4,4,4,4,4,4,4,0
Swimming Women's 50 metres Freestyle,8,8,8,8,8,8,8,8,8,8,8,8,8,0
Swimming Women's 800 metres Freestyle,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Taekwondo Men's Featherweight,2,2,2,2,2,2,2,2,2,2,2,2,2,0
Taekwondo Men's Flyweight,3,3,3,3,3,3,3,3,3,3,3,3,3,0
Taekwondo Men's Heavyweight,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Taekwondo Women's Featherweight,3,3,3,3,3,3,3,3,3,3,3,3,3,0
Taekwondo Women's Flyweight,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Taekwondo Women's Heavyweight,3,3,3,3,3,3,3,3,3,3,3,3,3,1
Volleyball Men's Volleyball,165,165,165,165,164,164,165,165,165,165,165,165,165,72
Volleyball Women's Volleyball,120,120,120,120,118,118,120,120,120,120,120,120,120,48
